"","Reserve","SiteID","Vegetation_Zone","abiotic_cover","live_cover","halophyte","freshwater","EIR_slope","invasive_cover","Richness_slope","SWdiv_slope","salt_ratio","Region","Geomorphology","tidal_range","salinity","SLR_last19yrs","NERRs_Landscape_resiliency_condition_sum_quantile"
"1","ACE","EIN","Mid",-0.93047191,0.930573992,0.930573992,NA,0.009304924,NA,0.012364314,0.003808824,-2.45e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"2","ACE","EIN","Low",-0.771110626,0.771249225,0.771249225,NA,0.010444593,NA,-0.049802828,-0.017720056,-3.77e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"3","ACE","EIS","Mid",-2.895524171,2.895554035,2.895554035,NA,0.028955331,NA,0.061502024,0.007392302,-2.07e-17,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"4","ACE","EIS","Low",-0.758716681,0.758716681,0.758716681,NA,0.007490375,NA,-0.174804495,-0.038476428,0,"Southeast","Riverine","Microtidal","Polyhaline",10.79,3
"5","APA","PC","Low",6.320885944,-6.320944702,-2.574714076,-1.693812601,0.059555584,0,-0.184088824,-0.042356815,0.022950702,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"6","APA","PC","Mid",1.50994296,-1.509788323,0.344986768,-0.064762766,0.001854594,0,-0.052977695,0.018802562,0.000989715,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"7","APA","PC","Up",-1.777452631,1.779923916,-7.690684151,0,-0.000106111,0,-0.062737337,-0.002651807,0,"Gulf Coast","Bay Front","Microtidal","Polyhaline",9.11,9
"8","CBM","MB","Low",-2.088086721,2.088076003,1.634521621,NA,-0.006007671,0.086028612,0.089454804,0.023997817,-0.000250331,"Mid-Atlantic","Bay Front","Microtidal","Mesohaline",5.93,7
"9","CBM","MB","Mid",-1.31125555,1.311266055,0.564601087,NA,0.029316906,0.191766189,-0.037356578,-0.01135095,-1.5e-05,"Mid-Atlantic","Bay Front","Microtidal","Mesohaline",5.93,7
"10","CBM","OPC","Low",-3.345504262,3.345656965,NA,3.148300846,0.01262293,1.262317157,0.055115122,0.011484059,0.001489815,"Mid-Atlantic","Riverine","Microtidal","Oligohaline",5.93,7
"11","CBM","OPC","Mid",-2.431849188,2.431403265,NA,2.29407434,0.005721914,0.210051134,0.079685638,0.014803004,0.001567009,"Mid-Atlantic","Riverine","Microtidal","Oligohaline",5.93,7
"12","DEL","SJR","Up",2.234170533,-2.234170533,0,NA,0,0,-0.397060261,-0.134791757,NA,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"13","DEL","SJR","Low",2.290942237,-2.290942237,-2.290942237,NA,0.022909422,0,-0.055731396,-0.021346658,0,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"14","DEL","SJR","Mid",1.790299254,-1.790299021,-0.256919469,NA,0.00557695,-1.805009632,-0.047330727,-0.018574504,0,"Mid-Atlantic","Riverine","Microtidal","Mesohaline",6.26,5
"15","ELK","Upper","Up",9.110414079,-9.111116297,4.152650418,NA,0.026322309,NA,-0.108055221,-0.029974156,0.083196945,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"16","ELK","Upper","Low",1.070988513,-1.070843972,0,NA,0.009424748,NA,0.019603265,0.018584365,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"17","ELK","Lower","Up",0,0.000387121,0,NA,0.023117921,NA,-0.069699633,-0.021654361,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"18","ELK","Lower","Low",0.036700302,-0.036700302,0,NA,0.000367003,NA,0,0,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"19","ELK","Upper","Mid",0,-6.91e-15,0,NA,0,NA,0,0,0,"West Coast","Riverine","Mesotidal","Polyhaline",3.65,2
"20","GND","spalt","Low",4.355388946,-4.355388946,0,0,0.043553889,0,0.020267209,0.019932208,0.024152208,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.98,10
"21","GND","spalt","Mid",8.941934382,-8.941934382,0,0,0.080675347,0,0.091505691,0.030572954,-0.013569791,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.98,10
"22","GND","juro low","Low",6.179287569,-6.179287569,0,0,0.061792876,0,0.081210648,0.056062016,-0.076081094,"Gulf Coast","Bay Front","Microtidal","Mesohaline",10.98,10
"23","GND","juro low","Mid",8.622953488,-8.622953488,0,0,0.085105846,0,0.047372777,0.005175381,-0.00881048,"Gulf Coast","Bay Front","Microtidal","Mesohaline",10.98,10
"24","GND","juro high","Mid",7.123014328,-7.123014328,-0.072642718,0.08884162,0.071531939,0.034730957,0.388122246,0.132748284,-0.014911408,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"25","GND","juro high","Low",-0.017194452,0.017194452,0.432025682,0.187229258,0.001548291,0.035824435,0.354321627,0.102695167,-0.007543682,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"26","GND","juro mid","Mid",5.610763879,-5.610763879,0.014517054,0.413003724,0.056107639,0.026292747,0.142618454,0.053179401,-0.015598636,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"27","GND","juro mid","Low",0.028185783,-0.028185783,1.052374715,0,-0.010133167,0.074385732,0.304711097,0.035690479,-0.001750253,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"28","GND","juro mid","Up",7.911550577,-7.911550577,0.12408527,-6.837756032,-0.021580214,0.09697095,0.787008068,0.219560527,-0.01305536,"Gulf Coast","Riverine","Microtidal","Mesohaline",10.98,10
"29","GND","clmaj","Up",-1.515456191,1.515456191,0,-3.288106286,0,-0.186772408,0.849290399,0.23154136,0.05234495,"Gulf Coast","Riverine","Microtidal","Oligohaline",10.98,10
"30","GRB","SP","Low",2.119340079,-2.119360558,-3.274921847,0,0.034138737,0,0.031736603,0.00910688,-2.69e-05,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"31","GRB","SP","Mid",-0.656046629,0.656109562,0.605068106,-0.04505356,0.0118648,-0.048720572,-0.026328168,-0.009026911,-0.00022189,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"32","GRB","SP","Up",-0.423624489,0.4238773,0.324104117,-1.249591882,0.017176436,-0.276917247,-0.036485197,-0.000409723,0.022010257,"Northeast","Bay Front","Mesotidal","Polyhaline",3.62,5
"33","GRB","GBF","Low",0.455430199,-0.455394069,-0.320956193,-0.035490495,-0.00450111,0,-0.057845382,-0.009905049,0.00114824,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"34","GRB","GBF","Mid",0.062654531,-0.062579773,0.166933565,-0.071710725,0.013266186,-0.002896451,-0.056078438,-0.017992081,0.000370856,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"35","GRB","GBF","Up",-0.086139453,0.086302164,0.04014776,-1.015341671,0.000840027,-0.002563272,-0.010979596,-0.009688591,0.000899012,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"36","GRB","BC","Low",0.559262354,-0.559227558,-0.615425546,0,0.008690457,0,0.041467339,0.006436408,-2.3e-17,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"37","GRB","BC","Mid",1.173411466,-1.17342204,-0.746551031,-0.030484325,0.016051872,0,-0.08448238,-0.021050302,0.000449547,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"38","GRB","BC","Up",1.246162404,-1.246173065,0.431079168,-1.420491916,0.01235856,0.009515742,-0.184582388,-0.028578888,0.010886244,"Northeast","Riverine","Mesotidal","Polyhaline",3.62,5
"39","GTM","22","Low",-0.554090045,0.554090045,0.554090045,0,-0.0055409,0,0.040415592,0.02826222,3.01e-18,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"40","GTM","0","Low",0.21270789,-0.21270789,-0.21270789,0,0.002127079,0,-0.030330968,0.004129448,-4.34e-17,"Southeast","Back Barrier","Microtidal","Oligohaline",8.25,5
"41","GTM","40","Low",-1.316911533,1.316911533,1.316911533,0,-0.013169115,0,-0.027111386,-3.64e-05,-1.93e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,7
"42","GTM","1","Low",0.635281724,-0.635324079,-0.635324079,0,0.0063529,0,0.111921862,0.055749666,-6.56e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,5
"43","GTM","46","Low",1.355397859,-1.355389628,-1.850140814,0,0.013553979,0,-0.093414716,-0.012372329,-3.74e-17,"Southeast","Riverine","Microtidal","Oligohaline",8.25,9
"44","JAC","Central Segment","Low",-1.684925041,1.685031888,1.685031888,NA,-0.016596962,0,-0.011426775,-0.009134672,0,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"45","JAC","South Segment","Low",-0.520899664,0.520953062,0.520953062,NA,-0.003793833,0,-0.005994859,-0.00715082,-1.95e-18,"Mid-Atlantic","Bay Front","Microtidal","Oligohaline",5.55,5
"46","KAC","FR","Mid",-0.904241785,0.90421665,0.73270588,-0.006877756,-0.001356088,NA,0.056393361,0.013229527,-0.001111968,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"47","KAC","FR","Low",-1.594599513,1.594742003,1.060322848,0.071381896,0.00456466,NA,0.053093607,0.012873623,-0.001733234,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"48","KAC","FR","Up",-1.821500337,1.820559517,0.11347672,2.879710577,0,NA,0.385654693,0.04584883,-0.016563562,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"49","KAC","BS","Low",-1.066625102,1.066507589,1.115836184,0,0.002762718,NA,0.103335312,0.03626784,7.29e-07,"West Coast","Back Barrier","Macrotidal","Oligohaline",-7.87,NA
"50","KAC","BS","Mid",-0.504295624,0.505024239,2.097804163,4.072595972,0,NA,0.194497372,0.009683912,-0.039254024,"West Coast","Back Barrier","Macrotidal","Oligohaline",-7.87,NA
"51","KAC","BS","Up",-0.332086828,0.331783489,0,1.171122524,0,NA,-0.085761037,-0.003610342,0,"West Coast","Back Barrier","Macrotidal","Oligohaline",-7.87,NA
"52","KAC","CP","Mid",-0.054208779,0.054172293,0.117173282,-0.011285698,0.002215266,NA,-0.080096421,-0.007185207,0.000229216,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"53","KAC","CP","Low",-0.383292538,0.383344015,0.383344015,0,0.001347823,NA,-0.022021477,-0.000533919,-4.08e-19,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"54","KAC","SC","Low",-0.985514333,0.985598069,0.983136753,0,0.011036309,NA,0.041373006,-0.007097426,2.09e-17,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"55","KAC","SC","Mid",-0.161575592,0.161659625,1.1019089,0,0.004824498,NA,-0.002976985,-0.006001974,0.004052175,"West Coast","Bay Front","Macrotidal","Mesohaline",-7.87,NA
"56","MAR","MI-W","Low",0.286434759,-0.286642924,-0.294783385,NA,-0.020220126,NA,-0.108790356,-0.033854645,2.94e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,7
"57","MAR","HF1","Low",11.38679476,-11.37441768,-11.41391341,NA,0.042080172,NA,-0.258376021,-0.068832467,-3.03e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"58","MAR","HF2","Low",9.843372854,-9.843372854,-9.997399664,NA,0.041895249,NA,-0.249999945,-0.084494733,4.27e-05,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"59","MAR","HF3","Low",8.929946149,-8.929946149,-9.012896781,NA,0.052853888,NA,-0.201462911,-0.054465144,-0.000514396,"Gulf Coast","Bay Front","Microtidal","Polyhaline",10.66,8
"60","NAR","Nag","Low",3.213664728,-3.213598535,-3.213598535,NA,0.032026386,0,-0.033642081,-0.011925108,0,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"61","NAR","Nag","Mid",1.094593549,-1.094579883,-1.093668431,NA,0.013729373,0,-0.015362815,-0.016347856,9.44e-06,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"62","NAR","Nag","Up",0.88924159,-0.89021172,-0.270121566,NA,0.007204851,0,-0.068834847,-0.009508264,0.000548137,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"63","NAR","Coggeshall","Mid",2.193929334,-2.194060486,-2.194060486,NA,0.007942549,0,-0.056341987,-0.037445628,0,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"64","NAR","Coggeshall","Low",1.769362788,-1.769387227,-1.769387227,NA,0.017648765,0,-0.056210746,-0.011928402,0,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"65","NAR","Coggeshall","Up",1.565059236,-1.564855561,-2.095807878,NA,-0.007548985,0.530952318,0.024088048,-0.00012041,0,"Northeast","Bay Front","Microtidal","Polyhaline",4.38,3
"66","NIW","Segment A","Mid",-0.164443146,0.153603796,0.492525185,0.019232497,0,NA,-0.009254755,-0.003708121,0.000966729,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"67","NIW","Segment A","Low",-1.70873286,1.70873286,1.70873286,0,-0.013225924,NA,0.007818447,0.000633786,-1.08e-17,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"68","NIW","Segment A","Up",3.021162774,-3.589443844,-2.393994907,0.398543866,-0.039193439,NA,-0.208758427,-0.013303095,-0.004330902,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"69","NIW","Segment B","Mid",0.985133915,-1.100601194,0.33570843,-0.379574403,0.002585321,NA,-0.066440018,-0.012774687,0.007817883,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"70","NIW","Segment B","Low",-1.137986246,1.137996872,1.03695448,0,-0.010608746,NA,-0.004220946,-0.000104228,3.99e-05,"Southeast","Riverine","Microtidal","Polyhaline",8.56,9
"71","NOC","MI","Low",-0.642256402,0.642247638,0.642247638,NA,-0.007119953,NA,-0.019187653,4.7e-05,-7.18e-18,"Southeast","Back Barrier","Microtidal","Polyhaline",9,3
"72","NOC","MI","Mid",-2.0709709,2.070742985,2.070742985,NA,0,NA,0.056743443,0.030078504,-3.04e-18,"Southeast","Back Barrier","Microtidal","Polyhaline",9,3
"73","NOC","MM","Low",4.766222166,-4.766099388,-4.863344365,NA,0.036977214,NA,0.002577338,0.001299333,-2.27e-17,"Southeast","Back Barrier","Microtidal","Polyhaline",9,3
"74","SOS","DM","Mid",0,-0.000720818,0.509299469,0.09755155,0.002382331,0,0.004122765,0.015189316,-0.001002498,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"75","SOS","DM","Low",0,-0.000352646,1.617895714,0,0,0,0.012366712,-0.001110661,0,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"76","SOS","MM","Low",0.1746027,-0.174329045,-0.028510264,0,0.001746027,0,-0.090171079,0.002033348,-5.5e-17,"West Coast","Bay Front","Mesotidal","Polyhaline",1.41,6
"77","SOS","MM","Mid",-0.474777719,0.47505421,-0.130974666,0,0.000746351,0,0.171826209,0.02822344,3.41e-06,"West Coast","Bay Front","Mesotidal","Polyhaline",1.41,6
"78","SOS","HC","Mid",0,-0.000369336,0.534252441,0.21404494,-0.002306276,0.000306816,0.062198982,0.02898607,-0.002140419,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"79","SOS","HC","Low",0.047347529,-0.048211085,2.983506509,0,0.000473475,0,-0.165070587,0.015767551,0,"West Coast","Riverine","Mesotidal","Mesohaline",1.41,6
"80","SOS","VM","Mid",0.035660289,-0.036273797,-0.010479676,0.0076629,0.0028824,0,0.008057535,0.019303827,-0.000107069,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"81","SOS","VM","Low",0.856998234,-0.857172267,-0.424026851,0,0.008569932,0,0.029826312,0.029710244,5.31e-17,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"82","SOS","VI","Low",0.027782714,-0.028165617,1.053167303,0,0.000277827,0,0.018164858,0.024984777,-2.25e-05,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"83","SOS","VI","Mid",0,0.001358324,0.753033407,0,0,0,-0.221317652,-0.01235329,0,"West Coast","Riverine","Mesotidal","Polyhaline",1.41,6
"84","SOS","MI","Low",0.390630019,-0.391100269,2.194624832,0,0.003906437,0,0.14436434,0.025357064,-2.68e-05,"West Coast","Bay Front","Mesotidal","Polyhaline",1.41,6
"85","TJR","McCoy North","Mid",0.186112409,-0.185960955,-0.185203982,NA,0,NA,-0.012116515,-0.018182073,0.000108139,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"86","TJR","McCoy North","Up",-2.547491198,2.547491198,2.710353475,NA,0,NA,0.175764845,0.008834735,0.208852551,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"87","TJR","McCoy South","Up",2.563044164,-2.56304417,-0.424219282,NA,0,NA,-0.146135215,-0.025765958,0.002562241,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"88","TJR","McCoy South","Mid",0.830960188,-0.830939981,-0.654210875,NA,-0.003457985,NA,-0.101687783,-0.025287412,-0.008091851,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"89","TJR","McCoy South","Low",1.269321944,-1.269220932,-1.269220932,NA,0.010029686,NA,-0.022220807,0.001949788,0,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"90","TJR","South Beach","Mid",0.371486526,-0.371355216,-0.6345722,NA,-0.003694854,NA,-0.012797165,-0.002641073,0.005440408,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"91","TJR","South Beach","Up",0.460543646,-0.460543646,-0.460543646,NA,0,NA,-0.008083811,0.008310492,0,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"92","TJR","V1","Low",-0.422925389,0.422925389,0.422925389,NA,-0.004229254,NA,0,0,0,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"93","TJR","V1","Mid",2.075983941,-2.076002878,-2.076002878,NA,-0.003104087,NA,-0.007958386,-0.001175037,0,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"94","TJR","V1","Up",0.523171801,-0.52286878,-0.513257488,NA,0,NA,0.041553257,0.005047329,0.000112047,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"95","TJR","V3","Mid",-0.743621954,0.743639622,0.61148309,NA,-0.000955427,NA,-0.00025893,0.01099763,-0.001316899,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"96","TJR","V4","Mid",-0.80677954,0.806605634,0.80908298,NA,0.001329119,NA,-0.11911252,-0.017150918,2.51e-05,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"97","TJR","V4","Low",-1.46604414,1.465559281,1.465559281,NA,-0.014660381,NA,-0.224250722,-0.024947245,0,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,5
"98","TJR","Brazo Creek","Mid",-1.878815522,1.878315551,1.228378037,NA,-0.021152222,NA,0.079995327,0.075821869,-0.006304168,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"99","TJR","Brazo Creek","Up",-5.914066115,5.912066524,5.731758298,NA,0,NA,-2.92e-05,0.030096817,-0.004161794,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"100","TJR","Horse Trail","Mid",-0.934559754,0.934559754,0.92055524,NA,-0.000198203,NA,-0.026662774,-0.014703615,-0.000147416,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"101","TJR","Model Marsh","Mid",-2.120581863,2.120486625,2.120486625,NA,-0.014823872,NA,-0.04286159,-0.011099241,9.46e-17,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"102","TJR","Model Marsh","Low",-4.272271465,4.272271465,4.272271465,NA,-0.055489509,NA,1.65e-16,0.036715402,9.93e-17,"West Coast","Back Barrier","Mesotidal","Polyhaline",5.19,3
"103","WEL","WB","Low",-0.133457792,0.133291836,-0.127953582,0,-0.000365634,0,-0.052868743,-0.019371649,0.000179852,"Northeast","Back Barrier","Mesotidal","Polyhaline",2.52,3
"104","WEL","WB","Mid",-0.175122647,0.17498227,0.032850294,0,0.005183632,-0.009621859,-0.062909467,-0.011753038,-4.72e-20,"Northeast","Back Barrier","Mesotidal","Polyhaline",2.52,3
"105","WEL","WB","Up",0.191217026,-0.191090163,-1.004422768,0.007400247,-0.005773769,-0.134401989,0.098622444,0.020495585,-0.003779352,"Northeast","Back Barrier","Mesotidal","Polyhaline",2.52,3
"106","WQB","Section 2","Low",-0.756881049,0.756962092,0.48984106,0,0.003268606,0,-0.007878188,-0.008986608,-5.4e-18,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"107","WQB","Section 2","Mid",0.598672974,-0.598367462,-0.645650307,0,0.018922737,0,-0.020237826,-0.030668534,-0.000302475,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"108","WQB","Section 2","Up",2.193110861,-2.192668132,-1.910147548,0,-0.017477945,-0.060988802,-0.022528612,-0.055252647,-1.24e-17,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"109","WQB","Section 1","Mid",2.244226662,-2.24397981,-2.036380614,0,0.011518106,0,0.123246376,-0.02535824,0,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"110","WQB","Section 1","Low",-0.018935954,0.019113421,-0.799832902,0,0.010841943,0,0.104609525,0.021365819,-3.51e-17,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"111","WQB","Section 3","Mid",0.314685459,-0.314327035,-0.680784168,0,0.015121279,0,0.026906579,-0.012833022,6.69e-07,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"112","WQB","Section 3","Up",-1.676522665,1.676931933,2.021202138,-0.389547821,0.024394019,0.040089259,-0.110703434,-0.0267736,0.009879277,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"113","WQB","Section 3","Low",-0.456775014,0.456951036,-0.288230132,0,0.009839442,0,0.015020916,0.011687672,-2.88e-17,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
"114","WQB","Section 1","Up",-0.469440859,0.469305613,-3.110864097,1.964015773,-0.051491689,0,-0.018957906,0.023685154,-0.045523878,"Northeast","Back Barrier","Microtidal","Polyhaline",5.1,3
