"Reserve","SiteID","Vegetation_Zone","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height","zoneAvg_distance_to_water","zoneAvg_orthometric_height"
"ACE-EIN","EIN","Mid",-0.930471909612941,-0.930471909612941,0.930573991506085,0.930573991506085,0.00930492381425902,0.0123643137274237,0.00380882398708634,-2.45386962599358e-17,1.30047334806063,-0.369899356554542,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,63.2777777777778,0.606933333333333
"ACE-EIN","EIN","Low",-0.771110626043463,-0.771110626043463,0.771249225068836,0.771249225068836,0.0104445928708268,-0.0498028282771197,-0.017720056225083,-3.77346230836308e-17,1.04447314698522,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.505441,"Southeast","NA25",2.48,3,-14,1.66,2.14,93.74,2.02,0.73,,10.47,-6.41,0.25,0.75,0,50.125,0.645190476190476,10.6666666666667,0.740833333333333
"ACE-EIS","EIS","Mid",-2.895524170847,-2.895524170847,2.89555403460093,2.89555403460093,0.0289553312997318,0.061502024317622,0.00739230241629157,-2.06675599258244e-17,2.36526244844904,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,36.85,0.839
"ACE-EIS","EIS","Low",-0.75871668120152,-0.75871668120152,0.758716681201518,0.758716681201518,0.00749037455066672,-0.1748044948634,-0.0384764284727463,0,0.749037455066671,0,,,,,,,,,,,,,,,0.00233333333333328,0.0829824561403504,0.368947368421035,"Riverine","Microtidal","Polyhaline",4.06,10.79,32.500047,"Southeast","NA25",2.48,3,-14,1.66,2.41,93.74,2.02,0.73,,6.93,-2.87,0.0476190476190476,0.952380952380952,0,35.1428571428571,0.831894736842105,1,0.704
"APA-LSM","LSM","Low",4.48285370598266,,-4.48301151648923,0,0.0448289240105094,-0.387777125217922,-0.0883975873303622,-0.0392150015874061,0,0,0,4.48285370598266,-3.66869723579392,-1.02287182597052,0.208557545275211,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","Mid",5.46027039938476,,-5.46044140956256,0,0.0544767505472877,0.0218298763910828,0.0150452121837845,-0.136984805159627,0,-0.0124114731448354,0,5.46027039938476,-11.7053051985238,5.76861987593247,0.476243913028784,3.1263019672991,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-LSM","LSM","Up",7.87769577221538,,-7.87814875408389,0,-0.154765448520253,0.207217544974363,0.0821355621842883,-0.155871107621373,0,0,0,7.87769577221538,-15.4767228430735,6.91348169015515,0.685092398834503,0.792578824872091,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Riverine","Microtidal","Fresh",2.91,9.11,29.75598,"Gulf Coast","NA25",,9,-1,1.64,2.15,94.94,0.56,0.08,,-6.85,9.76,0.166666666666667,0.5,0.333333333333333,,,,
"APA-PC","PC","Low",6.32088594400135,,-6.32094470244218,-2.57471407565694,0.0595555835098854,-0.184088823556118,-0.0423568145557712,0.0229507021402235,-0.877792058046253,-1.01463263568144,0.36529255163279,5.95559339236856,-2.05500110277017,-1.69381260106963,0.00258307705456517,0,-1.83303217950358,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
"APA-PC","PC","Mid",1.50994295971696,,-1.50978832326915,0.344986767594753,0.00185459405495321,-0.0529776952021601,0.0188025622664107,0.000989714906387968,0.210225057831812,-0.259707837497088,0,1.50994295971696,-1.7802115939693,-0.0647627661110331,-0.00980073078357842,0,-1.82199283608352,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
"APA-PC","PC","Up",-1.77745263131286,,1.77992391641833,-7.69068415099308,-0.000106111206364915,-0.0627373372731637,-0.00265180715583218,0,0,9.47060806741141,0,-1.77745263131286,9.47060806741141,0,0,0,0,,,,,,,,-0.000298245614035103,0.0626315789473702,0.0368421052631577,"Bay Front","Microtidal","Polyhaline",2.91,9.11,29.59641,"Gulf Coast","NA25",,9,-3,0.96,1.02,87.15,0.53,0.26,,5.02,-2.11,0.428571428571429,0.535714285714286,0.0357142857142857,,,,
"CBM-MB","MB","Low",-2.08808672063136,-0.600825427738892,2.08807600278052,1.63452162076189,-0.00600767145133527,0.0894548044761217,0.0239978171549213,-0.000250331231099342,1.08139630697462,0.154358834959561,,-2.06372668283694,0.441385800115615,,,0.0860286119213103,-0.0288954665810587,0.576465389944478,0.0121685819030206,,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Bay Front","Microtidal","Mesohaline",5.01,5.93,38.231501,"Mid-Atlantic","NA25",1.79,7,-2,1.51,2.03,66.7,0.74,0.19,,3.39,1.62,0.72972972972973,0.27027027027027,0,52.1621621621622,,52.2222222222222,
"CBM-MB","MB","Mid",-1.31125554965656,2.0046671914425,1.31126605549574,0.564601087100689,0.029316905693542,-0.0373565783576966,-0.0113509495650865,-1.49611735117096e-05,0.927028209525925,0.394555946038059,,-2.14252221370232,0.746113050704203,,,0.191766189204988,-0.454937064948123,-1.17340052739674,0.000551917690847718,,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Bay Front","Microtidal","Mesohaline",5.01,5.93,38.231501,"Mid-Atlantic","NA25",1.79,7,-2,1.51,2.03,66.7,0.74,0.19,,3.39,1.62,0.72972972972973,0.27027027027027,0,52.1621621621622,,52,
"CBM-OPC","OPC","Low",-3.34550426193348,-0.840305611601395,3.3456569653181,,0.012622930314129,0.0551151221406735,0.0114840593400337,0.00148981450697257,,,,-0.83696872395081,0.109206346935704,3.14830084641446,0.0304830124479334,1.26231715651905,,0.832609621476839,0.0576667595200024,-2.50083954785811,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Riverine","Microtidal","Oligohaline",5.01,5.93,39.439123,"Mid-Atlantic","NA25",1.79,7,-10,1.13,0.52,83.55,0.55,0.51,,,,0.36,0.64,0,29.2666666666667,,7.22222222222222,
"CBM-OPC","OPC","Mid",-2.43184918761471,-0.104863578856865,2.43140326526423,,0.00572191417704533,0.0796856379374886,0.0148030040366897,0.00156700887448508,,,,-2.90008697797703,0.0927173144912568,2.2940743404635,-0.00540619018659443,0.210051134193968,,1.19325108260447,0.0500178004960735,-0.620149713385288,,,,,-0.000185758513931888,0.00243274853801229,0.00724561403508632,"Riverine","Microtidal","Oligohaline",5.01,5.93,39.439123,"Mid-Atlantic","NA25",1.79,7,-10,1.13,0.52,83.55,0.55,0.51,,,,0.36,0.64,0,29.2666666666667,,41.6666666666667,
"DEL-SJR","SJR","Up",2.23417053280297,,-2.23417053280297,0,0,-0.397060261102586,-0.134791757447521,,0,,,2.23417053280297,0,,-2.23417053280297,0,0,,,,,,,,0.000473684210526258,-0.144003390830027,-0.0585000000000001,"Riverine","Microtidal","Mesohaline",4.3,6.26,39.08299,"Mid-Atlantic","NA25",2.93,5,-2,0.99,2.28,42.96,1.77,0.51,,4.75,-0.45,0.266666666666667,0.7,0.0333333333333333,,,,
"DEL-SJR","SJR","Low",2.29094223650801,,-2.29094223650801,-2.29094223650801,0.0229094223650801,-0.0557313963373816,-0.0213466584479274,0,-1.18358586724044,,,2.29094223650801,0,,0,0,-0.835579365766223,,,,,,,,0.000473684210526258,-0.144003390830027,-0.0585000000000001,"Riverine","Microtidal","Mesohaline",4.3,6.26,39.08299,"Mid-Atlantic","NA25",2.93,5,-2,0.99,2.28,42.96,1.77,0.51,,4.75,-0.45,0.266666666666667,0.7,0.0333333333333333,,,,
"DEL-SJR","SJR","Mid",1.79029925407477,,-1.79029902122609,-0.2569194688623,0.00557694951628345,-0.0473307269997951,-0.0185745041922264,0,0.223834854540509,,,1.79029925407477,-1.53337955236379,,0,-1.80500963204222,-0.293964479767009,,,,,,,,0.000473684210526258,-0.144003390830027,-0.0585000000000001,"Riverine","Microtidal","Mesohaline",4.3,6.26,39.08299,"Mid-Atlantic","NA25",2.93,5,-2,0.99,2.28,42.96,1.77,0.51,,4.75,-0.45,0.266666666666667,0.7,0.0333333333333333,,,,
"ELK","Upper","Up",9.11041407927428,9.11041407927428,-9.11111629724367,4.15265041848799,0.0263223089632053,-0.108055221336623,-0.0299741562768051,0.0831969445224126,,,0,0,,,-13.2637667157317,,,,,,-1.52077063115215,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.849702,"West Coast","NA15",2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.29,-0.67,0.75,0.15,0.1,70.1925,1.66226875000075,140.3,2.236012500005
"ELK","Upper","Low",1.07098851322411,0.942474836647753,-1.07084397230583,0,0.00942474836647753,0.0196032651364186,0.0185843652945826,0,,,0.128513676576356,0,,,-1.07084397230583,,,,,,-1.61559915714132,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.849702,"West Coast","NA15",2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.29,-0.67,0.75,0.15,0.1,70.1925,1.66226875000075,47.9633333333333,1.56291833333333
"ELK","Lower","Up",0,0,0.000387120588517719,0,0.0231179208893152,-0.0696996330781602,-0.0216543614362213,0,,,0,0,,,0.000387120588517719,,,,,,2.31183080099037,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.810744,"West Coast","NA15",2.46,2,-4,2.31,0.790000000000001,41.04,1.61,0.09,,2.05,-0.43,0.9,0.025,0.075,55.81975,1.55641624999938,107.786666666667,2.20232499999917
"ELK","Lower","Low",0.036700302030733,0.036700302030733,-0.0367003020307376,0,0.000367003020307336,0,0,0,,,0,0,,,-0.0367003020307376,,,,,,-0.0367003020307376,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.810744,"West Coast","NA15",2.46,2,-4,2.31,0.790000000000001,41.04,1.61,0.09,,2.05,-0.43,0.9,0.025,0.075,55.81975,1.55641624999938,51.1383333333333,1.4976666666659
"ELK","Upper","Mid",0,0,-6.90542177459978e-15,0,0,0,0,0,,,0,0,,,-6.90542177459978e-15,,,,,,-6.90542177459978e-15,,,,-0.00371929824561392,0.108903508771926,-0.0066403508771923,"Riverine","Mesotidal","Polyhaline",1.62,3.65,36.849702,"West Coast","NA15",2.46,2,-4,2.31,0.79,41.04,1.61,0.09,,2.29,-0.67,0.75,0.15,0.1,70.1925,1.66226875000075,134.6,1.77652500000167
"GND","spalt","Low",4.35538894593,,-4.35538894593001,0,0.0435538894593,0.0202672093665911,0.0199322077033242,0.02415220776502,-4.14973732825387,-0.205651617676136,,4.35538894593,-0.205651617676136,0,-4.14973732825387,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Polyhaline",4.36,10.98,30.361762,"Gulf Coast","NA25",2.3,10,-7,3.34,4.46,65.57,0.46,0.16,,5.74,-1.38,0.592592592592593,0.407407407407407,0,82.6296296296296,0.173601111111111,64.5,0.171924375
"GND","spalt","Mid",8.94193438180992,,-8.94193438180993,0,0.0806753471236615,0.0915056909256114,0.0305729538420955,-0.0135697905387324,-0.87439966944377,-8.06753471236616,,8.94193438180992,-8.06753471236616,0,-0.87439966944377,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Polyhaline",4.36,10.98,30.361762,"Gulf Coast","NA25",2.3,10,-7,3.34,4.46,65.57,0.46,0.16,,5.74,-1.38,0.592592592592593,0.407407407407407,0,82.6296296296296,0.173601111111111,109,0.17604
"GND","juro low","Low",6.17928756910422,,-6.17928756910423,0,0.0617928756910422,0.0812106480327833,0.0560620158679009,-0.0760810937523596,1.73706333763669,-7.99935014392596,,6.17928756910422,-7.91635090674092,0,1.73706333763669,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Mesohaline",4.36,10.98,30.375463,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,6.88,-2.52,0.171428571428571,0.828571428571429,0,82.5714285714286,0.202596,113.333333333333,0.136778333333333
"GND","juro low","Mid",8.6229534876669,,-8.62295348766691,0,0.0851058460792099,0.0473727770986327,0.00517538078615354,-0.00881047955557058,-0.112368879745906,-8.60059235997897,,8.6229534876669,-8.510584607921,0,-0.112368879745906,0,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Bay Front","Microtidal","Mesohaline",4.36,10.98,30.375463,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,6.88,-2.52,0.171428571428571,0.828571428571429,0,82.5714285714286,0.202596,76.2068965517241,0.216213448275862
"GND","juro high","Mid",7.12301432809003,,-7.12301432809004,-0.0726427179504533,0.0715319389109029,0.388122246238344,0.132748284466806,-0.0149114076372917,0,-6.01364915592282,,7.12301432809003,-7.03624110994139,0.0888416197171353,-0.106743113116537,0.0347309569418234,-1.82356356692317,,0.00377099320120347,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.398975,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,1.12,3.24,0.0952380952380952,0.904761904761905,0,500,0.454506190476191,499.789473684211,0.444171052631579
"GND","juro high","Low",-0.0171944516741334,,0.0171944516741251,0.432025682494428,0.00154829057427313,0.354321627176809,0.102695166812721,-0.00754368201248264,0,0.172023509101444,,-0.0171944516741334,-0.637884924339195,0.187229258107459,0.035824435411433,0.035824435411433,0.52633527623918,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.398975,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,1.12,3.24,0.0952380952380952,0.904761904761905,0,500,0.454506190476191,502,0.55269
"GND","juro mid","Mid",5.61076387905566,,-5.61076387905567,0.0145170539750372,0.0561076387905566,0.142618453922814,0.0531794013869241,-0.0155986357162962,0,-5.61894277204032,,5.61076387905566,-6.11641443574807,0.413003724019611,0.0781297786977606,0.0262927472529092,-0.640156327168953,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.397993,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.99,1.37,0.075,0.85,0.075,458.7,0.37219425,437.558823529412,0.342411764705882
"GND","juro mid","Low",0.0281857826678849,,-0.0281857826678887,1.05237471503177,-0.0101331667671351,0.304711097300454,0.035690479103834,-0.00175025252662337,0,-1.04150245938139,,0.0281857826678849,-1.15494623008115,0,0.0743857323814912,0.0743857323814912,0,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.397993,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.99,1.37,0.075,0.85,0.075,458.7,0.37219425,556,0.42146
"GND","juro mid","Up",7.91155057656242,,-7.91155057656243,0.124085269642293,-0.0215802144819872,0.787008067750621,0.21956052690913,-0.0130553603772426,0,0,,7.91155057656242,-2.28210671784101,-6.83775603219134,1.08422690382763,0.0969709504847059,-2.70103305122209,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Mesohaline",4.36,10.98,30.397993,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.99,1.37,0.075,0.85,0.075,458.7,0.37219425,601,0.660463333333333
"GND","clmaj","Up",-1.51545619144554,,1.51545619144554,0,0,0.8492903988644,0.231541360306823,0.0523449501673083,0,0.375356448478142,,-1.51545619144554,2.9582799964245,-3.28810628559119,1.84528248061223,-0.186772408391559,2.32684414342907,,0,,,,,,-0.00236842105263155,0.0600994152046809,0.179751461988299,"Riverine","Microtidal","Oligohaline",4.36,10.98,30.409709,"Gulf Coast","NA25",2.3,10,-4,2.28,3.98,98.17,0.46,0.18,,2.63,1.73,0,0,1,448.633333333333,0.777764,448.633333333333,0.777764
"GRB","SP","Low",2.11934007854942,2.2609882110601,-2.11936055841998,-3.27492184730662,0.0341387365714382,0.0317366034497995,0.00910687996060566,-2.68998302149897e-05,-3.20295022867641,,-0.196852161692939,0,0,0,0,0,0,0.0617221619862697,0.0025966406106506,,,-0.00651813280401043,0,1.15296464827599,0.00175438596491229,0.102163742690059,-0.125321637426899,"Bay Front","Mesotidal","Polyhaline",3.38,3.62,43.056383,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,3.2,0.18,0.133333333333333,0.733333333333333,0.133333333333333,41.0311111111111,,4.5,
"GRB","SP","Mid",-0.656046628997466,0.352948396440104,0.656109561970313,0.605068105824116,0.0118647998593225,-0.0263281680300699,-0.00902691113550923,-0.00022189037252083,0.887257076769601,,-0.350371364744506,0.0154832677220744,0.0803922735845792,-0.0450535595482005,0.0642261461626044,-0.048720572091765,-0.394891293383341,-0.646018117738358,0.00518749509714322,,,-0.0280888106767808,0,-0.053710899149929,0.00175438596491229,0.102163742690059,-0.125321637426899,"Bay Front","Mesotidal","Polyhaline",3.38,3.62,43.056383,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,3.2,0.18,0.133333333333333,0.733333333333333,0.133333333333333,41.0311111111111,,39.1212121212121,
"GRB","SP","Up",-0.423624488785937,-0.117438291844787,0.423877300397711,0.324104116687831,0.0171764359311051,-0.036485196582938,-0.000409722545686445,0.0220102566587528,0,,-0.609074390745321,0,1.5110020157177,-1.249591881874,-0.506470758856593,-0.276917247156412,-0.018707799660246,0.302888193804171,0.344833808722774,,,0,0,0,0.00175438596491229,0.102163742690059,-0.125321637426899,"Bay Front","Mesotidal","Polyhaline",3.38,3.62,43.056383,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,3.2,0.18,0.133333333333333,0.733333333333333,0.133333333333333,41.0311111111111,,88.0666666666667,
"GRB","GBF","Low",0.455430199268994,-0.398254346740226,-0.455394069292338,-0.320956192822935,-0.00450111018265464,-0.0578453824671106,-0.00990504887757959,0.00114824046308866,-0.326072635050594,,0.906130063387609,0,0,-0.0354904946270552,-0.0651701506352277,0,-0.0964462521211815,-0.0524455173783894,0.0180649883274562,,,0,0,-0.051842219534576,0.00175438596491229,0.102163742690059,-0.125321637426899,"Riverine","Mesotidal","Polyhaline",3.38,3.62,43.061085,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,2.87,0.51,0.175,0.675,0.15,21.9225,,1.78571428571429,
"GRB","GBF","Mid",0.0626545310868983,0.28199663756012,-0.0625797734503293,0.166933564593908,0.0132661863047304,-0.0560784377462653,-0.0179920811145561,0.000370855957294601,1.11998958644292,,-0.0458224238402327,0,-0.0667090408801717,-0.071710724506964,-0.0161527907838029,-0.00289645113934345,-0.610973463463902,-0.17351968263299,0.00040285620584532,,,0,0,-0.0753436380791439,0.00175438596491229,0.102163742690059,-0.125321637426899,"Riverine","Mesotidal","Polyhaline",3.38,3.62,43.061085,"Northeast","NA10",3.83,5,-6,0.76,0.37,67.84,1.52,0.32,,2.87,0.51,0.175,0.675,0.15,21.9225,,20.3777777777778,
