"","Reserve","SiteID","Metric","Region","salinity","tidal_range","Geomorphology","pvalue_count","pvalue_check"
"229","SOS","VI","EMI","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"230","SOS","VI","Salt Ratio","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"231","SOS","VI","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"232","SOS","VI","Richness","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"233","SOS","VM","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"234","SOS","VM","Live Cover","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"235","SOS","VM","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"236","SOS","VM","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"237","SOS","VM","EMI","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"238","SOS","VM","Salt Ratio","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"239","SOS","VM","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Riverine",1,1
"240","SOS","VM","Richness","West Coast","Polyhaline","Mesotidal","Riverine",0,0
"241","TJR","Brazo Creek","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"242","TJR","Brazo Creek","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"243","TJR","Brazo Creek","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"244","TJR","Brazo Creek","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"245","TJR","Brazo Creek","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"246","TJR","Brazo Creek","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"247","TJR","Brazo Creek","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"248","TJR","Brazo Creek","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"249","TJR","McCoy North","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"250","TJR","McCoy North","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"251","TJR","McCoy North","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"252","TJR","McCoy North","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"253","TJR","McCoy North","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"254","TJR","McCoy North","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",2,1
"255","TJR","McCoy North","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"256","TJR","McCoy North","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"257","TJR","McCoy South","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"258","TJR","McCoy South","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"259","TJR","McCoy South","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"260","TJR","McCoy South","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"261","TJR","McCoy South","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"262","TJR","McCoy South","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"263","TJR","McCoy South","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"264","TJR","McCoy South","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"265","TJR","Model Marsh","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"266","TJR","Model Marsh","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"267","TJR","Model Marsh","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"268","TJR","Model Marsh","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"269","TJR","Model Marsh","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",2,1
"270","TJR","Model Marsh","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"271","TJR","Model Marsh","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"272","TJR","Model Marsh","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"273","TJR","South Beach","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"274","TJR","South Beach","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"275","TJR","South Beach","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"276","TJR","South Beach","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"277","TJR","South Beach","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"278","TJR","South Beach","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"279","TJR","South Beach","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"280","TJR","South Beach","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"281","TJR","V1","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",2,1
"282","TJR","V1","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",2,1
"283","TJR","V1","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",2,1
"284","TJR","V1","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"285","TJR","V1","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"286","TJR","V1","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"287","TJR","V1","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"288","TJR","V1","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"289","TJR","V4","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"290","TJR","V4","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"291","TJR","V4","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"292","TJR","V4","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"293","TJR","V4","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"294","TJR","V4","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"295","TJR","V4","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"296","TJR","V4","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",1,1
"297","WEL","WB","Abiotic Cover","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"298","WEL","WB","Live Cover","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"299","WEL","WB","Halophyte Cover","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"300","WEL","WB","Freshwater Cover","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"301","WEL","WB","EMI","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"302","WEL","WB","Salt Ratio","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"303","WEL","WB","Shannon-Weiner Diversity","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"304","WEL","WB","Richness","Northeast","Polyhaline","Mesotidal","Back Barrier",0,0
"305","WQB","Section 1","Abiotic Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"306","WQB","Section 1","Live Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"307","WQB","Section 1","Halophyte Cover","Northeast","Polyhaline","Microtidal","Back Barrier",1,1
"308","WQB","Section 1","Freshwater Cover","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"309","WQB","Section 1","EMI","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"310","WQB","Section 1","Salt Ratio","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"311","WQB","Section 1","Shannon-Weiner Diversity","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"312","WQB","Section 1","Richness","Northeast","Polyhaline","Microtidal","Back Barrier",1,1
"313","WQB","Section 2","Abiotic Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"314","WQB","Section 2","Live Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"315","WQB","Section 2","Halophyte Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"316","WQB","Section 2","Freshwater Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"317","WQB","Section 2","EMI","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"318","WQB","Section 2","Salt Ratio","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"319","WQB","Section 2","Shannon-Weiner Diversity","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"320","WQB","Section 2","Richness","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"321","WQB","Section 3","Abiotic Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"322","WQB","Section 3","Live Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"323","WQB","Section 3","Halophyte Cover","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"324","WQB","Section 3","Freshwater Cover","Northeast","Polyhaline","Microtidal","Back Barrier",2,1
"325","WQB","Section 3","EMI","Northeast","Polyhaline","Microtidal","Back Barrier",1,1
"326","WQB","Section 3","Salt Ratio","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"327","WQB","Section 3","Shannon-Weiner Diversity","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"328","WQB","Section 3","Richness","Northeast","Polyhaline","Microtidal","Back Barrier",0,0
"329","GND","clmaj","Abiotic Cover","Gulf Coast","Oligohaline","Microtidal","Riverine",0,0
"330","GND","clmaj","Live Cover","Gulf Coast","Oligohaline","Microtidal","Riverine",0,0
"331","GND","clmaj","Halophyte Cover","Gulf Coast","Oligohaline","Microtidal","Riverine",0,0
"332","GND","clmaj","Freshwater Cover","Gulf Coast","Oligohaline","Microtidal","Riverine",1,1
"333","GND","clmaj","EMI","Gulf Coast","Oligohaline","Microtidal","Riverine",0,0
"334","GND","clmaj","Salt Ratio","Gulf Coast","Oligohaline","Microtidal","Riverine",1,1
"335","GND","clmaj","Shannon-Weiner Diversity","Gulf Coast","Oligohaline","Microtidal","Riverine",1,1
"336","GND","clmaj","Richness","Gulf Coast","Oligohaline","Microtidal","Riverine",1,1
"337","GTM","0","Abiotic Cover","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"338","GTM","0","Live Cover","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"339","GTM","0","Halophyte Cover","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"340","GTM","0","Freshwater Cover","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"341","GTM","0","EMI","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"342","GTM","0","Salt Ratio","Southeast","Oligohaline","Microtidal","Back Barrier",1,1
"343","GTM","0","Shannon-Weiner Diversity","Southeast","Oligohaline","Microtidal","Back Barrier",0,0
"344","GTM","0","Richness","Southeast","Oligohaline","Microtidal","Back Barrier",1,1
"345","GTM","1","Abiotic Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"346","GTM","1","Live Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"347","GTM","1","Halophyte Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"348","GTM","1","Freshwater Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"349","GTM","1","EMI","Southeast","Oligohaline","Microtidal","Riverine",0,0
"350","GTM","1","Salt Ratio","Southeast","Oligohaline","Microtidal","Riverine",1,1
"351","GTM","1","Shannon-Weiner Diversity","Southeast","Oligohaline","Microtidal","Riverine",1,1
"352","GTM","1","Richness","Southeast","Oligohaline","Microtidal","Riverine",1,1
"353","GTM","22","Abiotic Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"354","GTM","22","Live Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"355","GTM","22","Halophyte Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"356","GTM","22","Freshwater Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"357","GTM","22","EMI","Southeast","Oligohaline","Microtidal","Riverine",0,0
"358","GTM","22","Salt Ratio","Southeast","Oligohaline","Microtidal","Riverine",1,1
"359","GTM","22","Shannon-Weiner Diversity","Southeast","Oligohaline","Microtidal","Riverine",1,1
"360","GTM","22","Richness","Southeast","Oligohaline","Microtidal","Riverine",1,1
"361","GTM","40","Abiotic Cover","Southeast","Oligohaline","Microtidal","Riverine",1,1
"362","GTM","40","Live Cover","Southeast","Oligohaline","Microtidal","Riverine",1,1
"363","GTM","40","Halophyte Cover","Southeast","Oligohaline","Microtidal","Riverine",1,1
"364","GTM","40","Freshwater Cover","Southeast","Oligohaline","Microtidal","Riverine",0,0
"365","GTM","40","EMI","Southeast","Oligohaline","Microtidal","Riverine",1,1
"366","GTM","40","Salt Ratio","Southeast","Oligohaline","Microtidal","Riverine",1,1
"367","GTM","40","Shannon-Weiner Diversity","Southeast","Oligohaline","Microtidal","Riverine",0,0
"368","GTM","40","Richness","Southeast","Oligohaline","Microtidal","Riverine",1,1
"369","JAC","Central Segment","Abiotic Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",1,1
"370","JAC","Central Segment","Live Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",1,1
"371","JAC","Central Segment","Halophyte Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",1,1
"372","JAC","Central Segment","Freshwater Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"373","JAC","Central Segment","EMI","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",1,1
"374","JAC","Central Segment","Salt Ratio","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"375","JAC","Central Segment","Shannon-Weiner Diversity","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",1,1
"376","JAC","Central Segment","Richness","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"377","JAC","South Segment","Abiotic Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"378","JAC","South Segment","Live Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"379","JAC","South Segment","Halophyte Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"380","JAC","South Segment","Freshwater Cover","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"381","JAC","South Segment","EMI","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"382","JAC","South Segment","Salt Ratio","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"383","JAC","South Segment","Shannon-Weiner Diversity","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"384","JAC","South Segment","Richness","Mid-Atlantic","Oligohaline","Microtidal","Bay Front",0,0
"385","MAR","HF1","Abiotic Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"386","MAR","HF1","Live Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"387","MAR","HF1","Halophyte Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"388","MAR","HF1","Freshwater Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"389","MAR","HF1","EMI","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"390","MAR","HF1","Salt Ratio","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"391","MAR","HF1","Shannon-Weiner Diversity","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"392","MAR","HF1","Richness","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"393","MAR","HF2","Abiotic Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"394","MAR","HF2","Live Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"395","MAR","HF2","Halophyte Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"396","MAR","HF2","Freshwater Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"397","MAR","HF2","EMI","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"398","MAR","HF2","Salt Ratio","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"399","MAR","HF2","Shannon-Weiner Diversity","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"400","MAR","HF2","Richness","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"401","MAR","HF3","Abiotic Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"402","MAR","HF3","Live Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"403","MAR","HF3","Halophyte Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"404","MAR","HF3","Freshwater Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"405","MAR","HF3","EMI","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"406","MAR","HF3","Salt Ratio","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"407","MAR","HF3","Shannon-Weiner Diversity","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"408","MAR","HF3","Richness","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"409","MAR","MI-W","Abiotic Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"410","MAR","MI-W","Live Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"411","MAR","MI-W","Halophyte Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"412","MAR","MI-W","Freshwater Cover","Gulf Coast","Polyhaline","Microtidal","Bay Front",0,0
"413","MAR","MI-W","EMI","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"414","MAR","MI-W","Salt Ratio","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"415","MAR","MI-W","Shannon-Weiner Diversity","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"416","MAR","MI-W","Richness","Gulf Coast","Polyhaline","Microtidal","Bay Front",1,1
"417","NOC","MM","Abiotic Cover","Southeast","Polyhaline","Microtidal","Back Barrier",1,1
"418","NOC","MM","Live Cover","Southeast","Polyhaline","Microtidal","Back Barrier",1,1
"419","NOC","MM","Halophyte Cover","Southeast","Polyhaline","Microtidal","Back Barrier",1,1
"420","NOC","MM","Freshwater Cover","Southeast","Polyhaline","Microtidal","Back Barrier",0,0
"421","NOC","MM","EMI","Southeast","Polyhaline","Microtidal","Back Barrier",1,1
"422","NOC","MM","Salt Ratio","Southeast","Polyhaline","Microtidal","Back Barrier",0,0
"423","NOC","MM","Shannon-Weiner Diversity","Southeast","Polyhaline","Microtidal","Back Barrier",1,1
"424","NOC","MM","Richness","Southeast","Polyhaline","Microtidal","Back Barrier",0,0
"425","SOS","MI","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Bay Front",0,0
"426","SOS","MI","Live Cover","West Coast","Polyhaline","Mesotidal","Bay Front",0,0
"427","SOS","MI","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Bay Front",1,1
"428","SOS","MI","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Bay Front",0,0
"429","SOS","MI","EMI","West Coast","Polyhaline","Mesotidal","Bay Front",0,0
"430","SOS","MI","Salt Ratio","West Coast","Polyhaline","Mesotidal","Bay Front",0,0
"431","SOS","MI","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Bay Front",1,1
"432","SOS","MI","Richness","West Coast","Polyhaline","Mesotidal","Bay Front",1,1
"433","TJR","Horse Trail","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"434","TJR","Horse Trail","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"435","TJR","Horse Trail","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"436","TJR","Horse Trail","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"437","TJR","Horse Trail","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"438","TJR","Horse Trail","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"439","TJR","Horse Trail","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"440","TJR","Horse Trail","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"441","TJR","V3","Abiotic Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"442","TJR","V3","Live Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"443","TJR","V3","Halophyte Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"444","TJR","V3","Freshwater Cover","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"445","TJR","V3","EMI","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"446","TJR","V3","Salt Ratio","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"447","TJR","V3","Shannon-Weiner Diversity","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
"448","TJR","V3","Richness","West Coast","Polyhaline","Mesotidal","Back Barrier",0,0
